Login, Đăng nhập  
Logout, Đăng xuất  
Email, Email  
Password, Mật khẩu  
Forgot your password?, Quên mật khẩu?  
Create an account, Tạo tài khoản  
Register, Đăng ký  
Full Name, Họ và tên  
Full name, Họ và tên  
SIGN IN, ĐĂNG NHẬP  
SIGN UP, ĐĂNG KÝ  
Order History, Lịch sử đơn hàng  
Account Details, Chi tiết tài khoản  
Account details, Chi tiết tài khoản  
You have not placed any orders yet, Bạn chưa đặt đơn hàng nào  
My Account, Tài khoản của tôi  
Already have an account?, Đã có tài khoản?  
Contact information, Thông tin liên hệ  
City, Thành phố  
Account Information, Thông tin tài khoản  
Address, Địa chỉ  
Postcode, Mã bưu điện  
Postcode is required, Mã bưu điện là bắt buộc  
Telephone is required, Số điện thoại là bắt buộc  
Telephone, Số điện thoại  
Full name is required, Họ và tên là bắt buộc  
Country is required, Quốc gia là bắt buộc  
Country, Quốc gia  
Province is required, Tỉnh/Thành phố là bắt buộc  
Province, Tỉnh/Thành phố  
Billing Address, Địa chỉ thanh toán  
Shipping Address, Địa chỉ giao hàng  
Create A New Account, Tạo tài khoản mới  
Contact, Liên hệ  
Customer information, Thông tin khách hàng  
Address Book, Thông tin địa chỉ
You have no addresses saved, Bạn chưa thêm địa chỉ nào!
Add new address, Thêm mới địa chỉ
